active_packet_gap_max_s_mean,active_packet_gap_max_s_std,actuator_torque_rms_nm_mean,actuator_torque_rms_nm_std,baseline_selection_rate_mean,baseline_selection_rate_std,command_acceleration_max_abs_rad_s2_mean,command_acceleration_max_abs_rad_s2_std,command_acceleration_rms_rad_s2_mean,command_acceleration_rms_rad_s2_std,control_compute_max_s_mean,control_compute_max_s_std,control_compute_p50_s_mean,control_compute_p50_s_std,control_compute_p95_s_mean,control_compute_p95_s_std,control_deadline_miss_count_mean,control_deadline_miss_count_std,control_period_max_s_mean,control_period_max_s_std,control_period_p50_s_mean,control_period_p50_s_std,control_period_p95_s_mean,control_period_p95_s_std,control_period_p99_s_mean,control_period_p99_s_std,e2e_max_s_mean,e2e_max_s_std,e2e_p95_s_mean,e2e_p95_s_std,e2e_p99_s_mean,e2e_p99_s_std,exact_final_pool_time_max_s_mean,exact_final_pool_time_max_s_std,exact_final_pool_time_p95_s_mean,exact_final_pool_time_p95_s_std,exact_pool_candidate_count_mean_mean,exact_pool_candidate_count_mean_std,exact_pool_valid_count_mean_mean,exact_pool_valid_count_mean_std,exact_selection_changed_rate_mean,exact_selection_changed_rate_std,failure_rate_mean,failure_rate_std,fallback_duty_cycle_mean,fallback_duty_cycle_std,feedback_saturation_rate_mean,feedback_saturation_rate_std,joint_rmse_rad_mean,joint_rmse_rad_std,label,lap_tcp_rmse_m_mean,lap_tcp_rmse_m_std,late_packet_rate_mean,late_packet_rate_std,n_cases,orientation_rmse_rad_mean,orientation_rmse_rad_std,packet_age_max_steps_mean,packet_age_max_steps_std,packet_age_p50_steps_mean,packet_age_p50_steps_std,packet_age_p95_steps_mean,packet_age_p95_steps_std,packet_expiration_count_mean,packet_expiration_count_std,planner_execution_qref_error_max_rad_mean,planner_execution_qref_error_max_rad_std,planner_execution_qref_error_p95_rad_mean,planner_execution_qref_error_p95_rad_std,planner_execution_qref_error_rms_rad_mean,planner_execution_qref_error_rms_rad_std,planner_failure_count_mean,planner_failure_count_std,planner_failure_step_rate_mean,planner_failure_step_rate_std,planner_hz_mean,planner_hz_std,projection_activation_rate_mean,projection_activation_rate_std,projection_discrepancy_max_rad_mean,projection_discrepancy_max_rad_std,projection_discrepancy_p95_rad_mean,projection_discrepancy_p95_rad_std,projection_discrepancy_rms_rad_mean,projection_discrepancy_rms_rad_std,residual_saturation_rate_mean,residual_saturation_rate_std,safety_projection_offset_max_rad_mean,safety_projection_offset_max_rad_std,safety_projection_offset_p95_rad_mean,safety_projection_offset_p95_rad_std,safety_projection_offset_rms_rad_mean,safety_projection_offset_rms_rad_std,solve_max_s_mean,solve_max_s_std,solve_p95_s_mean,solve_p95_s_std,solve_p99_s_mean,solve_p99_s_std,start_jitter_max_s_mean,start_jitter_max_s_std,start_jitter_p50_s_mean,start_jitter_p50_s_std,start_jitter_p95_s_mean,start_jitter_p95_s_std,start_jitter_p99_s_mean,start_jitter_p99_s_std,tcp_p95_m_mean,tcp_p95_m_std,tcp_rmse_m_mean,tcp_rmse_m_std,trajectory,wakeup_lateness_max_s_mean,wakeup_lateness_max_s_std,wakeup_lateness_p50_s_mean,wakeup_lateness_p50_s_std,wakeup_lateness_p95_s_mean,wakeup_lateness_p95_s_std,wakeup_lateness_p99_s_mean,wakeup_lateness_p99_s_std
0.06,0.0,20.055258813679817,7.565412397114519,0.4845303867403315,0.028814154277138786,12.500286102294922,0.0,6.832988297729061,0.20978927138290818,0.07792673856019974,0.0025686285183376973,0.0008466006023809314,4.333394245102945e-06,0.04175281628966332,0.00021604778359425505,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016676003599422985,0.0004467228589237679,0.015952601939861775,8.826612034505624e-05,11.085635359116022,0.01265904888109363,11.085635359116022,0.01265904888109363,0.4613259668508287,0.03607062115248783,0.0,0.0,0.003320420586607637,0.0,0.0015495296070835638,0.002261518178384344,0.012292052443908885,0.0017228376726405386,FullVirtual,0.028118611756794597,0.003892573477819668,0.0,0.0,5,0.02671891726508892,0.0036400968230130845,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05027652382850647,0.005251846685957685,0.013920641504228115,0.0007290281150309629,0.006056552695692714,0.00029672503320462873,0.0,0.0,0.0,0.0,nan,nan,0.9001660210293304,0.0377058250987298,0.12413067668676377,0.028537643950766377,0.04454495422542093,0.015580124646062067,0.018655240554477637,0.005949152068477093,0.0,0.0,0.12413067668676377,0.028537643950766377,0.04454495422542093,0.015580124646062067,0.018655240554477637,0.005949152068477093,0.037363892793655394,0.0006065802227898157,0.03616021245718002,0.000290720236643952,0.036605937138199804,0.00044782918143020795,nan,nan,nan,nan,nan,nan,nan,nan,0.05805747054517267,0.007223005415089328,0.029294388218111405,0.003980318759812409,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,19.811787526406267,2.3153722187257317,0.4894039735099337,0.011800350782255277,12.500286102294922,0.0,6.861359149873323,0.04621461052759022,0.0763550728559494,0.0009086545614147916,0.0008429458015598357,1.0495736773374102e-05,0.04123918183147907,0.0003955693669610075,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01708980180119397,0.00027908561821158917,0.01601892637911078,0.00020275792520276105,11.150993377483442,0.01491904678949532,11.150993377483442,0.01491904678949532,0.4688741721854305,0.035167994827421875,0.0,0.0,0.003981420039814201,0.0,0.0018579960185799605,0.0018413320405456682,0.01376353950715956,0.0004798214677413528,FullVirtual,0.03948101143856146,0.004112028993227949,0.0,0.0,5,0.030600955575883465,0.0009626027495643652,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05491945147514343,0.012827489078211341,0.014394688792526722,0.0005201483769985347,0.006163403872752377,0.00018552840684422965,0.0,0.0,0.0,0.0,nan,nan,0.9140013271400133,0.02123735046896319,0.12313834577798843,0.01790517794565241,0.04491631425917142,0.008250999356341117,0.01903345175244568,0.0027868726998514126,0.0,0.0,0.12313834577798843,0.01790517794565241,0.04491631425917142,0.008250999356341117,0.01903345175244568,0.0027868726998514126,0.0377722904086113,0.0012810910959439976,0.03619755290448665,0.0004055180373677721,0.03660467211902142,0.00035417761506853756,nan,nan,nan,nan,nan,nan,nan,nan,0.06586764536798001,0.004856147727904293,0.03371488134235597,0.0012776544184070974,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,16.122358671253984,1.5574580179466124,0.5287292817679557,0.016528480996300093,12.500286102294922,0.0,6.624236652958894,0.05624728497389087,0.07724981158971786,0.0010271075177068739,0.0008447582018561661,3.881667591880683e-06,0.041937556266784665,0.00035354466222540707,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01755238579935394,0.0011509835932709978,0.016032256230973874,7.892297867362509e-05,11.080662983425416,0.008148000665056672,11.080662983425416,0.008148000665056672,0.4292817679558011,0.008647776708562727,0.0,0.0,0.003320420586607637,0.0,0.00044272274488101824,0.0007215497958165633,0.011056450463936305,0.00035864642102460104,FullVirtual,0.02431722550494825,0.0013717031245373999,0.0,0.0,5,0.023931781983916673,0.0006849183556144314,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.04900859594345093,0.008347894577899787,0.01236225813627243,0.0005362115458498087,0.005346138143487688,0.000243358985775016,0.0,0.0,0.0,0.0,nan,nan,0.8501383508577753,0.026535680094726784,0.12513490617275239,0.010850690114205445,0.03440873846411703,0.004062183171270814,0.01551215618203412,0.0018148289331498637,0.0,0.0,0.12513490617275239,0.010850690114205445,0.03440873846411703,0.004062183171270814,0.01551215618203412,0.0018148289331498637,0.039403095841407776,0.004864999423598477,0.036180506497621535,0.00016611091793839342,0.03668106438964606,0.0002086247900705179,nan,nan,nan,nan,nan,nan,nan,nan,0.05545631416141985,0.0033709609577554363,0.027034082415019756,0.0005122110940381134,figure8,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,12.684374497510724,2.580073626437405,0.5303867403314918,0.020947169734949027,12.500286102294922,0.0,6.451443935084784,0.11283493353612425,0.07664459496736527,0.0018842292790784885,0.0008491144049912691,9.481951594384641e-06,0.041808768808841705,0.0003654685128364768,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01734073479892686,0.00035239686629739313,0.016070996297639792,0.00011979917006171263,11.111602209944753,0.014952893483673737,11.111602209944753,0.014952893483673737,0.40331491712707185,0.04266145086044336,0.0,0.0,0.003320420586607637,0.0,0.0007747648035417819,0.0007424686145544404,0.009491892288882527,0.0007346612118809248,FullVirtual,0.01781943121840533,0.00045892035541908596,0.0,0.0,5,0.020984301987907635,0.0016570930280863597,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05009092092514038,0.008666707228379714,0.011835899483412505,0.0005216073747931356,0.005148419372611303,0.00011372874828317263,0.0,0.0,0.0,0.0,nan,nan,0.7883785279468734,0.024716759238420368,0.09473660588264465,0.012795088564727006,0.026441626772284465,0.006960395622857246,0.011617441965498599,0.0025604504837947136,0.0,0.0,0.09473660588264465,0.012795088564727006,0.026441626772284465,0.006960395622857246,0.011617441965498599,0.0025604504837947136,0.041503045707941055,0.005611033395707763,0.036377862878143784,0.00024410153510114526,0.036900524891912936,0.00024564797309685536,nan,nan,nan,nan,nan,nan,nan,nan,0.055418548211455324,0.0030767052812172716,0.02344423865328223,0.0011346183235010805,rounded_square,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,17.534979541703628,3.221651143291176,0.4740331491712707,0.01569974832970476,12.500286102294922,0.0,6.7111774084526585,0.12248353757641955,0.08040199130773544,0.0022799164864368195,0.0008456647978164255,6.567607862820076e-06,0.04376563839614391,0.0004435600131216721,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01809769580431748,0.0002389704106127805,0.016953982988925413,0.0002382407623033581,11.083425414364642,0.011621924844178212,11.083425414364642,0.011621924844178212,0.4657458563535911,0.0419216529615336,0.0,0.0,0.003320420586607637,0.0,0.0,0.0,0.0115960244856073,0.0009223539414009625,NoFeedback,0.026152373853724663,0.0021287126670851628,0.0,0.0,5,0.024903657982268578,0.0017373872075835892,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05797139182686806,0.00665704527092404,0.014554505003616214,0.0007098268058937949,0.006274777330588746,0.0004043197174507099,0.0,0.0,0.0,0.0,nan,nan,0.8855561704482569,0.033278831469707074,0.11080709248781204,0.01509801591618101,0.039575621820986236,0.008593014208319443,0.01664266215270841,0.00307542399857306,0.0,0.0,0.11080709248781204,0.01509801591618101,0.039575621820986236,0.008593014208319443,0.01664266215270841,0.00307542399857306,0.04058642610907555,0.001734767903892283,0.0382865122705698,0.0003291743764289478,0.03911734661459922,0.00034681705051806214,nan,nan,nan,nan,nan,nan,nan,nan,0.053279277160763715,0.002599369929478991,0.027065146991673967,0.0011519687885887932,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,19.205171300958437,3.3137060912566345,0.4900662251655629,0.02532625586221582,12.500286102294922,0.0,6.678983310096013,0.11883820718181821,0.07874139249324799,0.0010813967824357942,0.0008409766131080687,3.5642160944705927e-06,0.043103142827749255,0.00020663412494097984,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019058342798962256,0.0016510420059087155,0.01687466119692544,0.0001886968199021952,11.141059602649005,0.005540794877708952,11.141059602649005,0.005540794877708952,0.462251655629139,0.03093856589880288,0.0,0.0,0.003981420039814201,0.0,0.0,0.0,0.013588031965588828,0.001254100594196785,NoFeedback,0.03820431010410448,0.005131669435050173,0.0,0.0,5,0.029740017083010356,0.003094275059467373,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05105168297886849,0.010089563728532105,0.014821584522724151,0.0004528725597458284,0.0061848787151073965,0.00020525509832139448,0.0,0.0,0.0,0.0,nan,nan,0.8959522229595223,0.014180849681798322,0.11964838653802871,0.012533576850161784,0.042780512496829,0.010625353764638456,0.017957335339988962,0.0037529060791470963,0.0,0.0,0.11964838653802871,0.012533576850161784,0.042780512496829,0.010625353764638456,0.017957335339988962,0.0037529060791470963,0.04101057648658753,0.0009902522918677807,0.03817882612347603,0.000164046800235855,0.03899215252697468,0.00032001129209442464,nan,nan,nan,nan,nan,nan,nan,nan,0.06537317998707295,0.008210622732294316,0.03264284900107965,0.0032781460726701898,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,14.394418080762554,2.234796517597658,0.5104972375690607,0.020892453481976842,12.500286102294922,0.0,6.476248162726722,0.06626218474387786,0.08037426173686982,0.0021322844258899955,0.0008439717930741608,6.695111327909977e-06,0.043793133497238165,0.00030965522027006325,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023009347403421997,0.006883750362791739,0.016967349289043344,0.0001429075075752202,11.087845303867402,0.019862627637842783,11.087845303867402,0.019862627637842783,0.4292817679558011,0.03636559609671606,0.0,0.0,0.003320420586607637,0.0,0.0,0.0,0.010919558756068126,0.0005483326533250014,NoFeedback,0.023787105039200524,0.0003957354852660508,0.0,0.0,5,0.024644011804306292,0.0011940266479423735,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.04910374283790588,0.010848753917017529,0.01320423330180347,0.0002122721571573318,0.005721247995321615,0.0001558945884477547,0.0,0.0,0.0,0.0,nan,nan,0.85213060320974,0.038053075849265434,0.10458618998527527,0.014582196521612014,0.029248732905834907,0.005254389608556363,0.012938405771516098,0.002204781199964651,0.0,0.0,0.10458618998527527,0.014582196521612014,0.029248732905834907,0.005254389608556363,0.012938405771516098,0.002204781199964651,0.04575055986642838,0.008863953721414118,0.0384040917083621,0.0002636130116512229,0.03944645012915134,0.0005496390053590256,nan,nan,nan,nan,nan,nan,nan,nan,0.058112110048532464,0.003632396362748866,0.027157167646631758,0.001174123220896503,figure8,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,13.332972672099086,1.4307402635287145,0.5403314917127071,0.010446226740988421,12.500286102294922,0.0,6.220158201514154,0.1167411728495523,0.08075357973575592,0.0018783680775462256,0.0008455532020889223,6.473683487278202e-06,0.043645287454128254,0.0003382024714356331,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019337937197997236,0.0033879975544035493,0.01690190347304451,0.00014469516159100763,11.117679558011051,0.012446276603391107,11.117679558011051,0.012446276603391107,0.37679558011049724,0.018796713631164655,0.0,0.0,0.003320420586607637,0.0,0.0,0.0,0.009393731335554212,0.00035969880178353245,NoFeedback,0.017772569246684678,0.00047962827418976286,0.0,0.0,5,0.02075635209852515,0.0009143674013078336,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05004502534866333,0.006163072719561459,0.012377625796943903,0.00041467919525368344,0.005362238691805751,9.084133155977836e-05,0.0,0.0,0.0,0.0,nan,nan,0.8026563364692862,0.025798929601313803,0.09658575505018234,0.00866892122950793,0.027102959677576997,0.004048202936183311,0.01196958667680097,0.001352563112534769,0.0,0.0,0.09658575505018234,0.00866892122950793,0.027102959677576997,0.004048202936183311,0.01196958667680097,0.001352563112534769,0.04114814102649689,0.002938964599446232,0.03813888069242238,0.0003028198338840096,0.038806479848921306,0.00038408345503513995,nan,nan,nan,nan,nan,nan,nan,nan,0.053046347200870494,0.002922069661697509,0.022821184956385538,0.00037769450082456604,rounded_square,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,18.994362450124477,3.3617167314987397,0.4745856353591161,0.01966959460653911,12.500286102294922,0.0,7.089614939800827,0.14419576304554318,0.5501394465565681,1.0078650831302398,0.00084656240651384,5.443081880416769e-06,0.039726515635848045,0.0002635506420977143,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.043653449797420765,0.055286549895806295,0.01694534962662147,8.066547592021495e-05,11.091160220994475,0.017028767964002815,11.091160220994475,0.017028767964002815,0.49502762430939234,0.023553672648941672,0.0,0.0,0.003320420586607637,0.0,0.03364692861095738,0.0020853839160394866,0.013519347870636151,0.0014057764296588574,NoFutureAlignment,0.029452752864013387,0.0034609373920686296,0.0,0.0,5,0.02783362101430325,0.003369965290102797,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0764770656824112,0.00920483407995714,0.03226069882512093,0.002622130601096929,0.014266592385686342,0.0009634375737865668,0.0,0.0,0.0,0.0,nan,nan,0.882125069175429,0.015564317775788837,0.133694651722908,0.03816724364286936,0.042647793367505044,0.008400342050570218,0.018415973534478797,0.003359911358675924,0.0,0.0,0.133694651722908,0.03816724364286936,0.042647793367505044,0.008400342050570218,0.018415973534478797,0.003359911358675924,0.06773808300495147,0.054060310254099644,0.038295070379972464,0.00013484703565867776,0.03944803918898104,0.0009050743565632201,nan,nan,nan,nan,nan,nan,nan,nan,0.06148731768131253,0.0039899212722608055,0.030895610227187675,0.0026674938544264423,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,21.836420873153298,2.8375755756161247,0.45430463576158947,0.034760327078174065,12.500286102294922,0.0,7.247174305442686,0.2292503561731905,0.07661693692207336,0.0013057582819740886,0.0008499637944623828,1.0070015878243072e-05,0.039588951915502546,0.00039893354531742975,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018333913397509605,0.0013478363862207167,0.0168648804766417,0.0002582501863033797,11.157615894039735,0.024512258971287355,11.157615894039735,0.024512258971287355,0.5324503311258277,0.04326232122007831,0.0,0.0,0.003981420039814201,0.0,0.0610484406104844,0.01232526584008408,0.016122383325801543,0.0012174637389140695,NoFutureAlignment,0.042193622767122185,0.0026437653259010893,0.0,0.0,5,0.0322964540649341,0.0029298320827920647,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.07570180296897888,0.011135814810232559,0.03702848218381405,0.002650337047023829,0.01635376189895934,0.0009874786903644659,0.0,0.0,0.0,0.0,nan,nan,0.9044459190444591,0.022033122383389506,0.15052928626537324,0.03544081614310955,0.049487081468105286,0.009291833129872695,0.021779000833857025,0.004539030896546888,0.00013271400132714,0.00029675752853348237,0.15052928626537324,0.03544081614310955,0.049487081468105286,0.009291833129872695,0.021779000833857025,0.004539030896546888,0.03991624116897583,0.0009675375298316867,0.03836597379297018,0.0004338391712000357,0.03915155744552612,0.0006413165867858089,nan,nan,nan,nan,nan,nan,nan,nan,0.0683384782075882,0.002895740357228457,0.03630277093137979,0.002366873492726443,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
