delay_protocol,seed,tcp_rmse_slope_m_per_step,trajectory
anchor_only,0,0.24320130288853323,circle
anchor_only,1,0.1684077248802631,circle
anchor_only,2,0.21346325141416256,circle
anchor_only,0,0.07956274770472574,fast_ellipse
anchor_only,1,0.1689314909431628,fast_ellipse
anchor_only,2,0.1862210741340093,fast_ellipse
full,0,-0.00036155125604332646,circle
full,1,7.66168086483271e-05,circle
full,2,0.0006461524037900351,circle
full,0,0.0016793208150208828,fast_ellipse
full,1,0.001885645203043214,fast_ellipse
full,2,-0.0023225754003521806,fast_ellipse
naive_delayed,0,0.006012520682438637,circle
naive_delayed,1,0.005749280549715643,circle
naive_delayed,2,0.005462160435857601,circle
naive_delayed,0,0.006992583374653183,fast_ellipse
naive_delayed,1,0.006879918828949145,fast_ellipse
naive_delayed,2,0.006237842301152324,fast_ellipse
no_feedback,0,-0.00011193792398893686,circle
no_feedback,1,0.00043185895399099815,circle
no_feedback,2,0.00027477481273947515,circle
no_feedback,0,-0.000282786412588878,fast_ellipse
no_feedback,1,0.0011049328106622432,fast_ellipse
no_feedback,2,-5.6709011729026755e-05,fast_ellipse
