active_packet_gap_max_s_mean,active_packet_gap_max_s_std,actuator_torque_rms_nm_mean,actuator_torque_rms_nm_std,baseline_selection_rate_mean,baseline_selection_rate_std,command_acceleration_max_abs_rad_s2_mean,command_acceleration_max_abs_rad_s2_std,command_acceleration_rms_rad_s2_mean,command_acceleration_rms_rad_s2_std,control_compute_max_s_mean,control_compute_max_s_std,control_compute_p50_s_mean,control_compute_p50_s_std,control_compute_p95_s_mean,control_compute_p95_s_std,control_deadline_miss_count_mean,control_deadline_miss_count_std,control_period_max_s_mean,control_period_max_s_std,control_period_p50_s_mean,control_period_p50_s_std,control_period_p95_s_mean,control_period_p95_s_std,control_period_p99_s_mean,control_period_p99_s_std,delay_protocol,delay_steps,e2e_max_s_mean,e2e_max_s_std,e2e_p95_s_mean,e2e_p95_s_std,e2e_p99_s_mean,e2e_p99_s_std,exact_final_pool_time_max_s_mean,exact_final_pool_time_max_s_std,exact_final_pool_time_p95_s_mean,exact_final_pool_time_p95_s_std,exact_pool_candidate_count_mean_mean,exact_pool_candidate_count_mean_std,exact_pool_valid_count_mean_mean,exact_pool_valid_count_mean_std,exact_selection_changed_rate_mean,exact_selection_changed_rate_std,failure_rate_mean,failure_rate_std,fallback_duty_cycle_mean,fallback_duty_cycle_std,feedback_saturation_rate_mean,feedback_saturation_rate_std,joint_rmse_rad_mean,joint_rmse_rad_std,lap_tcp_rmse_m_mean,lap_tcp_rmse_m_std,late_packet_rate_mean,late_packet_rate_std,n_cases,orientation_rmse_rad_mean,orientation_rmse_rad_std,packet_age_max_steps_mean,packet_age_max_steps_std,packet_age_p50_steps_mean,packet_age_p50_steps_std,packet_age_p95_steps_mean,packet_age_p95_steps_std,packet_expiration_count_mean,packet_expiration_count_std,planner_execution_qref_error_max_rad_mean,planner_execution_qref_error_max_rad_std,planner_execution_qref_error_p95_rad_mean,planner_execution_qref_error_p95_rad_std,planner_execution_qref_error_rms_rad_mean,planner_execution_qref_error_rms_rad_std,planner_failure_count_mean,planner_failure_count_std,planner_failure_step_rate_mean,planner_failure_step_rate_std,planner_hz_mean,planner_hz_std,projection_activation_rate_mean,projection_activation_rate_std,projection_discrepancy_max_rad_mean,projection_discrepancy_max_rad_std,projection_discrepancy_p95_rad_mean,projection_discrepancy_p95_rad_std,projection_discrepancy_rms_rad_mean,projection_discrepancy_rms_rad_std,residual_saturation_rate_mean,residual_saturation_rate_std,safety_projection_offset_max_rad_mean,safety_projection_offset_max_rad_std,safety_projection_offset_p95_rad_mean,safety_projection_offset_p95_rad_std,safety_projection_offset_rms_rad_mean,safety_projection_offset_rms_rad_std,solve_max_s_mean,solve_max_s_std,solve_p95_s_mean,solve_p95_s_std,solve_p99_s_mean,solve_p99_s_std,start_jitter_max_s_mean,start_jitter_max_s_std,start_jitter_p50_s_mean,start_jitter_p50_s_std,start_jitter_p95_s_mean,start_jitter_p95_s_std,start_jitter_p99_s_mean,start_jitter_p99_s_std,tcp_p95_m_mean,tcp_p95_m_std,tcp_rmse_m_mean,tcp_rmse_m_std,trajectory,wakeup_lateness_max_s_mean,wakeup_lateness_max_s_std,wakeup_lateness_p50_s_mean,wakeup_lateness_p50_s_std,wakeup_lateness_p95_s_mean,wakeup_lateness_p95_s_std,wakeup_lateness_p99_s_mean,wakeup_lateness_p99_s_std
0.02,0.0,17.216613543255097,2.645392116759442,0.5257826887661142,0.011500917124122295,12.500286102294922,0.0,6.44352157535045,0.020768746550938414,0.11087096234162648,0.05102541707042408,0.0008314386553441485,6.847403533588332e-06,0.04177080144484838,0.00010052691565457477,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,2,nan,nan,nan,nan,nan,nan,0.061710498999066964,0.07129118385241155,0.016675647569354624,0.00010075927590283109,11.089318600368324,0.016186368168735678,11.089318600368324,0.016186368168735678,0.44567219152854515,0.005750458562061156,0.0,0.0,0.0011068068622025456,0.0,0.0,0.0,0.010734197421687464,0.00031549212613601863,0.024169756241389038,0.000322123850894354,0.0,0.0,3,0.02267674798573971,0.0006534333431785104,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.2351741790771484e-08,9.85619169125181e-09,0.0,0.0,4.480655276031788e-10,1.2806908447826933e-10,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,2.2351741790771484e-08,9.85619169125181e-09,0.0,0.0,4.478174979536148e-10,1.2799819098571913e-10,0.0,0.0,2.2351741790771484e-08,9.85619169125181e-09,0.0,0.0,4.478174979536148e-10,1.2799819098571913e-10,0.08281950031717618,0.07101557953886421,0.03756117634475231,0.00025277692116617775,0.0384902590761582,0.00014680328812582025,nan,nan,nan,nan,nan,nan,nan,nan,0.050663949300845446,0.0007589559708060216,0.026146023294942988,0.0006524386938593295,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.0,19.33810917408445,0.7040027899053827,0.5101289134438306,0.030802446931266554,12.500286102294922,0.0,6.57493931081362,0.16171334804507956,0.10800640533367793,0.054161547366044255,0.0008271103530811766,5.362269151948501e-06,0.04262209037939707,0.0002898307608554658,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,4,nan,nan,nan,nan,nan,nan,0.06170472633190608,0.07129321138069365,0.016758518320420992,0.00016273976490748069,11.103130755064457,0.013626748238442888,11.103130755064457,0.013626748238442888,0.47974217311233885,0.010458394743646918,0.0,0.0,0.002213613724405091,0.0,0.0,0.0,0.010782704881877972,0.0005753887325597743,0.024744975075503616,6.0116501822531166e-05,0.0,0.0,3,0.023027947304297136,0.001769655686871845,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.1175870895385742e-08,3.226196034939731e-09,0.0,0.0,3.7278770326664124e-10,6.663213474596987e-11,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,1.1175870895385742e-08,3.226196034939731e-09,0.0,0.0,3.723748706889837e-10,6.655834498385877e-11,0.0,0.0,1.1175870895385742e-08,3.226196034939731e-09,0.0,0.0,3.723748706889837e-10,6.655834498385877e-11,0.08263345931967099,0.07118405309141841,0.03779806376745304,0.00025452420516384637,0.038491634850700694,0.0003881875589684559,nan,nan,nan,nan,nan,nan,nan,nan,0.04985465717812378,0.0031899945573189647,0.026060377236530166,0.0018993084300613018,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,41.30693969469656,12.077378209975548,0.4042357274401473,0.06283138898427987,12.500286102294922,0.0,7.974239461527497,0.13079196666046927,0.07795289903879166,0.0007564254966464691,0.0008219180162996054,5.245696276821873e-06,0.043371605997284256,0.00040978423051727135,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,6,nan,nan,nan,nan,nan,nan,0.018342221330385655,0.0006443720467095275,0.016822307251519914,0.000164120573633689,11.935543278084715,0.0536604135702889,11.901473296500923,0.04155905744529174,0.8910275976685277,0.036196807613362234,0.6666666666666666,0.5773502691896258,0.003320420586607637,0.0,0.0,0.0,1.033903086908864,0.28500615606092283,1.103944300986541,0.5544808634174292,0.0,0.0,3,1.689942402994706,0.18902304123522645,7.333333333333333,2.8867513459481287,2.0,0.0,4.0,0.0,0.0,0.0,0.1416492462158203,0.03606732309652942,0.060831705729166664,0.001435700251495313,0.027955629682856323,0.0009009763586797064,0.0,0.0,0.0005534034311012728,0.0005534034311012728,nan,nan,0.9385722191477587,0.01994556866733827,0.1416492462158203,0.03606732309652942,0.06083168188730875,0.0014357208995953506,0.027909178867578894,0.0008994793047094985,0.1769046301420402,0.04142154751020774,0.1416492462158203,0.03606732309652942,0.06083168188730875,0.0014357208995953506,0.027909178867578894,0.0008994793047094985,0.039806233098109566,0.001040988198272466,0.0379669631520907,0.0001848182278444681,0.038870338139434656,0.0002969379703673365,nan,nan,nan,nan,nan,nan,nan,nan,1.6316476623217262,0.41692281638319345,1.0224808589267287,0.4146591915274955,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.08,0.0,51.28214288649915,3.64857703585768,0.37476979742173117,0.015214283279795855,12.500286102294922,0.0,7.992827090782181,0.12470490272564319,0.07810900857051213,0.001336850159971749,0.0008257603039965034,7.457419533153129e-06,0.044078335290153814,0.000342037528896573,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,8,nan,nan,nan,nan,nan,nan,0.01780360467576732,0.00017568799202345267,0.016847907466581092,0.00011436476725381107,11.94659300184162,0.0836215420486749,11.913443830570904,0.0836215420486741,0.9030470914127423,0.014393774024118086,1.0,0.0,0.004427227448810182,0.0,0.0,0.0,0.9542132240437221,0.4740789490507983,1.3269760140951778,0.37355886059178367,0.0,0.0,3,1.5541057939070753,0.3459704578598917,9.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.14081796010335287,0.01875357643947473,0.05833407243092855,0.007218075928838491,0.026060049014611994,0.005283250623564306,0.0,0.0,0.0005534034311012728,0.0,nan,nan,0.9009407858328721,0.042392292201893875,0.14081796010335287,0.01875357643947473,0.05833407243092855,0.007218075928838491,0.026002298142489926,0.005271542574551073,0.16768123962368567,0.039687168000546766,0.14081796010335287,0.01875357643947473,0.05833407243092855,0.007218075928838491,0.026002298142489926,0.005271542574551073,0.04025323813160261,0.0019967815126499143,0.037953632262845836,0.00038193910164442815,0.038719864487648005,0.0003501410224656619,nan,nan,nan,nan,nan,nan,nan,nan,1.986965787410736,0.28780160645130143,1.083055372027008,0.36804534934805316,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.0,22.333512012932477,5.531293515839062,0.5375275938189845,0.03076679881846876,12.500286102294922,0.0,6.543546403422393,0.17050345739083644,0.0775521993637085,0.0015768534463243649,0.0008237326595311364,3.2298639879743434e-06,0.04101414817074935,0.00019518144805957867,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,2,nan,nan,nan,nan,nan,nan,0.017958957997810405,0.00032435060241212815,0.01657468479364373,7.556999166039408e-05,11.15121412803532,0.02757173509226687,11.15121412803532,0.02757173509226687,0.48565121412803536,0.04046424454707145,0.0,0.0,0.0013271400132714,2.655742100606481e-19,0.0,0.0,0.014509829019688066,0.0032348363816546554,0.043353721567471616,0.017756914411745796,0.0,0.0,3,0.03154562730272345,0.007948382926376731,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.6763806343078613e-08,3.226196034939731e-09,0.0,0.0,4.4460419723163705e-10,8.18162445152326e-11,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,1.6763806343078613e-08,3.226196034939731e-09,0.0,0.0,4.4430907327131645e-10,8.176193568447874e-11,0.0,0.0,1.6763806343078613e-08,3.226196034939731e-09,0.0,0.0,4.4430907327131645e-10,8.176193568447874e-11,0.038922986636559166,0.0006691501839971149,0.03743650720765193,0.0002127292582133758,0.03803965454300245,0.00031169442615964127,nan,nan,nan,nan,nan,nan,nan,nan,0.07961183773974578,0.029892647940487373,0.03563953384721102,0.009065096589990279,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.0,23.548571125394123,7.728300848828433,0.49889624724061804,0.059264431605557596,12.500286102294922,0.0,6.797804658306329,0.47747062620503733,0.07789758096138637,0.0007668857297654938,0.0008288453294274708,8.885146908614756e-06,0.042334199945131934,0.0003053742685275649,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,4,nan,nan,nan,nan,nan,nan,0.017524065333418548,0.00018869769426552792,0.016736932434772218,3.4942009691481204e-05,11.164459161147903,0.013382291007706982,11.164459161147903,0.013382291007706982,0.5309050772626932,0.10293345193849236,0.0,0.0,0.0026542800265428,5.311484201212962e-19,0.0,0.0,0.014270487161121925,0.0024097040873846246,0.03846016799146384,0.003365486747540682,0.0,0.0,3,0.02954069600653707,0.004910998163887636,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.483526865641276e-08,2.1507973566264877e-09,0.0,0.0,5.346634547813972e-10,6.682910777799104e-11,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,2.483526865641276e-08,2.1507973566264877e-09,0.0,0.0,5.339534100394626e-10,6.674035726369724e-11,0.0,0.0,2.483526865641276e-08,2.1507973566264877e-09,0.0,0.0,5.339534100394626e-10,6.674035726369724e-11,0.0393424928188324,0.0008720372057707423,0.037902707296113176,0.00044540177023778105,0.03870417968680461,0.0007101630675790297,nan,nan,nan,nan,nan,nan,nan,nan,0.06435262486338615,0.005625555906387081,0.03319538148456238,0.004025192379204126,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,53.243928104899936,6.228691095105863,0.4205298013245033,0.0980602178474228,12.500286102294922,0.0,7.985307205967902,0.20361184156314924,0.07902509719133377,0.0014127181909952473,0.0008225550215380887,5.956556240150216e-06,0.042949626718958224,0.00012720933693051312,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,6,nan,nan,nan,nan,nan,nan,0.017494181665824726,0.00011944259139831476,0.01675413803580644,0.0001454747501921033,11.852097130242825,0.2705185203848421,11.83774834437086,0.2588506136581858,0.8630246492559753,0.03792902565179839,0.3333333333333333,0.5773502691896258,0.003981420039814201,0.0,0.0,0.0,0.7843524492308865,0.6218468537546702,0.5709471630310009,0.5975325771197997,0.0,0.0,3,1.2166715220980406,0.7976505080370135,5.666666666666667,2.8867513459481287,2.0,0.0,4.0,0.0,0.0,0.0,0.12083699305852254,0.03608444345245993,0.06416801611582439,0.005202537717856364,0.027675662834751424,0.0042028149922546405,0.0,0.0,0.00022119000221190003,0.00038311232195728317,nan,nan,0.933421809334218,0.012060434311183924,0.12083699305852254,0.03608444345245993,0.06416752835114797,0.005202771855879994,0.027620513667691925,0.0041944400619950825,0.13404114134041142,0.07635093129700773,0.12083699305852254,0.03608444345245993,0.06416752835114797,0.005202771855879994,0.027620513667691925,0.0041944400619950825,0.03914577513933182,0.00065430308339825,0.03768350090831518,0.00024141034622142076,0.03833888981491327,0.0005000445777847099,nan,nan,nan,nan,nan,nan,nan,nan,1.1608835483590763,1.1323676240727591,0.6403477177844691,0.6144040291611238,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.08,0.0,44.8005508481853,7.235993016652784,0.4503311258278146,0.08137884587711597,12.500286102294922,0.0,7.888167177040253,0.08411981882512558,0.07705134650071462,0.0008222574000863784,0.0008220743426742653,1.690281466510245e-06,0.04329289086163044,0.00023569486659648806,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,anchor_only,8,nan,nan,nan,nan,nan,nan,0.017790125663547467,0.00015145113700556172,0.016716283618006856,0.0001576482014879219,12.007726269315674,0.06948384430700696,11.966887417218544,0.07078661697494021,0.9114064230343301,0.0019181072066100648,1.0,0.0,0.0053085600530856,1.0622968402425924e-18,0.0,0.0,1.1985578882574663,0.5153125691764209,0.8015808129238936,0.4702920725728083,0.0,0.0,3,1.5820518364963583,0.14192329160977638,9.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.1516479750474294,0.01874901674907868,0.06285989185174333,0.003061809457354508,0.027577640117858737,0.0020565658598742575,0.0,0.0,0.0006635700066357,1.3278710503032405e-19,nan,nan,0.9228046892280469,0.02523602479216643,0.1516479750474294,0.01874901674907868,0.06221721209585603,0.0020943721577625076,0.027504343934776913,0.002051099894434833,0.1780579517805795,0.048984472413183856,0.1516479750474294,0.01874901674907868,0.06221721209585603,0.0020943721577625076,0.027504343934776913,0.002051099894434833,0.04155802105863889,0.003042202474796975,0.03764553051441908,0.0001070197080217009,0.038427575019498665,0.00016699504296834342,nan,nan,nan,nan,nan,nan,nan,nan,1.4529126723607382,0.2704427104538202,0.7992894501514595,0.22437715736524774,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.0,19.979190838994615,5.528821086956468,0.501841620626151,0.05272794954777314,12.500286102294922,0.0,6.726041301795576,0.30264331635350283,0.07631478955348332,0.0013937940615804778,0.0008479760144837201,3.2414384391398517e-06,0.04183613906304041,0.000201937940677116,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,full,2,nan,nan,nan,nan,nan,nan,0.02062976899226972,0.002762614960079322,0.016605324915144593,8.855741708679644e-05,11.084714548802944,0.017973500272507412,11.084714548802944,0.017973500272507412,0.5009208103130754,0.05272794954777312,0.0,0.0,0.0011068068622025456,0.0,0.0,0.0,0.012053231522744857,0.0018338856256400755,0.0250644440310499,0.001362728630357389,0.0,0.0,3,0.025264703177544496,0.0038208536312643866,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0028520425160725913,8.676746088321833e-05,0.00026015015318989703,2.3600667675039826e-05,0.00016351542212247934,1.7378073475882586e-05,0.0,0.0,0.0,0.0,nan,nan,0.8730861464674414,0.028023933019641154,0.12839422623316446,0.04059601221749245,0.05030358725537848,0.019260919725098698,0.02066208751926168,0.0064149015640133445,0.0,0.0,0.12839422623316446,0.04059601221749245,0.05030358725537848,0.019260919725098698,0.02066208751926168,0.0064149015640133445,0.04408524309595426,0.005834587770185008,0.03752730675041676,0.0002601327122065308,0.03854629420985777,0.0010652021597821258,nan,nan,nan,nan,nan,nan,nan,nan,0.055357415849963815,0.008655033915416919,0.028134558695086423,0.003377238034500957,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.0,19.405483853842547,2.6661691494470077,0.5303867403314917,0.01538056453820452,12.500286102294922,0.0,6.503695159548152,0.09466085289067913,0.10730793575445811,0.0506410242008483,0.0008459226810373366,5.533136901265816e-06,0.04248701793452103,0.0003467100316820892,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,full,4,nan,nan,nan,nan,nan,nan,0.05812858333229087,0.06904615377977508,0.016729566727250737,0.00010606011821079689,11.075506445672191,0.009701338630619392,11.075506445672191,0.009701338630619392,0.4650092081031308,0.015707847246069953,0.0,0.0,0.002213613724405091,0.0,0.0,0.0,0.011563879171599697,0.0009673614157080863,0.02651120469780202,0.0016225999516249164,0.0,0.0,3,0.024635348602781566,0.002561021212979112,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.005052448250353336,0.0004762196550712954,0.0004636960724989569,4.029887077170477e-05,0.000278776959489279,8.707237425803064e-06,0.0,0.0,0.0,0.0,nan,nan,0.904630142040214,0.017607739973219218,0.10709949334462483,0.009920178553958468,0.045769251758853526,0.011179229686731766,0.01844075315964053,0.003977659815346748,0.0,0.0,0.10709949334462483,0.009920178553958468,0.045769251758853526,0.011179229686731766,0.01844075315964053,0.003977659815346748,0.07920932024717331,0.06819856025180414,0.03770167691012224,0.0003480654444710221,0.038200191495319204,0.0003917459691476424,nan,nan,nan,nan,nan,nan,nan,nan,0.05398163882394629,0.004895679481966585,0.027903907607896156,0.0025747306346133128,circle,nan,nan,nan,nan,nan,nan,nan,nan
