delay_protocol,nondecreasing_adjacent_fraction,seed,trajectory,worst_delay_steps,worst_tcp_rmse_m
anchor_only,1.0,0,circle,8,1.3537247477427372
anchor_only,0.3333333333333333,1,circle,6,1.482256232510585
anchor_only,0.6666666666666666,2,circle,8,1.2314651924225604
anchor_only,0.6666666666666666,0,fast_ellipse,8,0.5543567675805093
anchor_only,1.0,1,fast_ellipse,8,0.9949069671196109
anchor_only,0.6666666666666666,2,fast_ellipse,6,1.3067941774098937
full,0.3333333333333333,0,circle,6,0.03207412323000702
full,0.6666666666666666,1,circle,8,0.028794305350951115
full,0.6666666666666666,2,circle,6,0.03491568917112515
full,1.0,0,fast_ellipse,8,0.03972772166265762
full,0.6666666666666666,1,fast_ellipse,8,0.04147925877608359
full,0.3333333333333333,2,fast_ellipse,2,0.05018791868011379
naive_delayed,0.6666666666666666,0,circle,8,0.09020065560458607
naive_delayed,1.0,1,circle,8,0.08674259215500688
naive_delayed,1.0,2,circle,8,0.09027566897971938
naive_delayed,0.6666666666666666,0,fast_ellipse,8,0.09217195067843285
naive_delayed,1.0,1,fast_ellipse,8,0.09329120875583503
naive_delayed,1.0,2,fast_ellipse,8,0.09349671560808578
no_feedback,0.6666666666666666,0,circle,4,0.034311233563167086
no_feedback,0.3333333333333333,1,circle,6,0.028965534227033848
no_feedback,0.6666666666666666,2,circle,4,0.02960969630046348
no_feedback,0.3333333333333333,0,fast_ellipse,2,0.04075414682963642
no_feedback,0.6666666666666666,1,fast_ellipse,8,0.03787494875541838
no_feedback,0.6666666666666666,2,fast_ellipse,4,0.03474396383031263
