active_packet_gap_max_s_mean,active_packet_gap_max_s_std,actuator_torque_rms_nm_mean,actuator_torque_rms_nm_std,baseline_selection_rate_mean,baseline_selection_rate_std,command_acceleration_max_abs_rad_s2_mean,command_acceleration_max_abs_rad_s2_std,command_acceleration_rms_rad_s2_mean,command_acceleration_rms_rad_s2_std,control_compute_max_s_mean,control_compute_max_s_std,control_compute_p50_s_mean,control_compute_p50_s_std,control_compute_p95_s_mean,control_compute_p95_s_std,control_deadline_miss_count_mean,control_deadline_miss_count_std,control_period_max_s_mean,control_period_max_s_std,control_period_p50_s_mean,control_period_p50_s_std,control_period_p95_s_mean,control_period_p95_s_std,control_period_p99_s_mean,control_period_p99_s_std,e2e_max_s_mean,e2e_max_s_std,e2e_p95_s_mean,e2e_p95_s_std,e2e_p99_s_mean,e2e_p99_s_std,exact_final_pool_time_max_s_mean,exact_final_pool_time_max_s_std,exact_final_pool_time_p95_s_mean,exact_final_pool_time_p95_s_std,exact_pool_candidate_count_mean_mean,exact_pool_candidate_count_mean_std,exact_pool_valid_count_mean_mean,exact_pool_valid_count_mean_std,exact_selection_changed_rate_mean,exact_selection_changed_rate_std,failure_rate_mean,failure_rate_std,fallback_duty_cycle_mean,fallback_duty_cycle_std,feedback_saturation_rate_mean,feedback_saturation_rate_std,joint_rmse_rad_mean,joint_rmse_rad_std,label,lap_tcp_rmse_m_mean,lap_tcp_rmse_m_std,late_packet_rate_mean,late_packet_rate_std,n_cases,orientation_rmse_rad_mean,orientation_rmse_rad_std,packet_age_max_steps_mean,packet_age_max_steps_std,packet_age_p50_steps_mean,packet_age_p50_steps_std,packet_age_p95_steps_mean,packet_age_p95_steps_std,packet_expiration_count_mean,packet_expiration_count_std,planner_execution_qref_error_max_rad_mean,planner_execution_qref_error_max_rad_std,planner_execution_qref_error_p95_rad_mean,planner_execution_qref_error_p95_rad_std,planner_execution_qref_error_rms_rad_mean,planner_execution_qref_error_rms_rad_std,planner_failure_count_mean,planner_failure_count_std,planner_failure_step_rate_mean,planner_failure_step_rate_std,planner_hz_mean,planner_hz_std,projection_activation_rate_mean,projection_activation_rate_std,projection_discrepancy_max_rad_mean,projection_discrepancy_max_rad_std,projection_discrepancy_p95_rad_mean,projection_discrepancy_p95_rad_std,projection_discrepancy_rms_rad_mean,projection_discrepancy_rms_rad_std,residual_saturation_rate_mean,residual_saturation_rate_std,safety_projection_offset_max_rad_mean,safety_projection_offset_max_rad_std,safety_projection_offset_p95_rad_mean,safety_projection_offset_p95_rad_std,safety_projection_offset_rms_rad_mean,safety_projection_offset_rms_rad_std,solve_max_s_mean,solve_max_s_std,solve_p95_s_mean,solve_p95_s_std,solve_p99_s_mean,solve_p99_s_std,start_jitter_max_s_mean,start_jitter_max_s_std,start_jitter_p50_s_mean,start_jitter_p50_s_std,start_jitter_p95_s_mean,start_jitter_p95_s_std,start_jitter_p99_s_mean,start_jitter_p99_s_std,tcp_p95_m_mean,tcp_p95_m_std,tcp_rmse_m_mean,tcp_rmse_m_std,trajectory,wakeup_lateness_max_s_mean,wakeup_lateness_max_s_std,wakeup_lateness_p50_s_mean,wakeup_lateness_p50_s_std,wakeup_lateness_p95_s_mean,wakeup_lateness_p95_s_std,wakeup_lateness_p99_s_mean,wakeup_lateness_p99_s_std
0.0,0.0,5.75414544947853,0.0,nan,nan,3.1495094299316406,0.0,0.474489287124293,0.0,0.0007765719783492386,0.0,0.00022355199325829744,0.0,0.00023974059440661218,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.015249685278717225,0.0,DirectIK,0.03644693122300724,0.0,nan,nan,1,0.036029501136291,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08892745003104206,0.0,0.04010962114423325,0.0,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.0,6.771618449751086,0.0,nan,nan,4.12672758102417,0.0,0.7460722829855383,0.0,0.0006847860058769584,0.0,0.00022070799604989588,0.0,0.00023139200056903063,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.016932322624065736,0.0,DirectIK,0.044374971678888396,0.0,nan,nan,1,0.03881079360640571,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09173670932650566,0.0,0.04392514063894601,0.0,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.0,5.170003450289162,0.0,nan,nan,2.8248131275177,0.0,0.4908131990705792,0.0,0.0005456299986690283,0.0,0.0002219320012954995,0.0,0.000228403604705818,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.014267588990708997,0.0,DirectIK,0.03163727547558505,0.0,nan,nan,1,0.03357206893664515,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08892749473452564,0.0,0.03801603391284657,0.0,figure8,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.0,4.688524388112917,0.0,nan,nan,4.372596740722656,0.0,0.592301405259407,0.0,0.0023745358921587467,0.0,0.000222454997128807,0.0,0.00023548449971713125,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.01292452015919658,0.0,DirectIK,0.024409008092062295,0.0,nan,nan,1,0.031603160795969774,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08893415108323095,0.0,0.03499904026391749,0.0,rounded_square,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,20.055258813679817,7.565412397114519,0.4845303867403315,0.028814154277138786,12.500286102294922,0.0,6.832988297729061,0.20978927138290818,0.07792673856019974,0.0025686285183376973,0.0008466006023809314,4.333394245102945e-06,0.04175281628966332,0.00021604778359425505,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016676003599422985,0.0004467228589237679,0.015952601939861775,8.826612034505624e-05,11.085635359116022,0.01265904888109363,11.085635359116022,0.01265904888109363,0.4613259668508287,0.03607062115248783,0.0,0.0,0.003320420586607637,0.0,0.0015495296070835638,0.002261518178384344,0.012292052443908885,0.0017228376726405386,FullVirtual,0.028118611756794597,0.003892573477819668,0.0,0.0,5,0.02671891726508892,0.0036400968230130845,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05027652382850647,0.005251846685957685,0.013920641504228115,0.0007290281150309629,0.006056552695692714,0.00029672503320462873,0.0,0.0,0.0,0.0,nan,nan,0.9001660210293304,0.0377058250987298,0.12413067668676377,0.028537643950766377,0.04454495422542093,0.015580124646062067,0.018655240554477637,0.005949152068477093,0.0,0.0,0.12413067668676377,0.028537643950766377,0.04454495422542093,0.015580124646062067,0.018655240554477637,0.005949152068477093,0.037363892793655394,0.0006065802227898157,0.03616021245718002,0.000290720236643952,0.036605937138199804,0.00044782918143020795,nan,nan,nan,nan,nan,nan,nan,nan,0.05805747054517267,0.007223005415089328,0.029294388218111405,0.003980318759812409,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,19.811787526406267,2.3153722187257317,0.4894039735099337,0.011800350782255277,12.500286102294922,0.0,6.861359149873323,0.04621461052759022,0.0763550728559494,0.0009086545614147916,0.0008429458015598357,1.0495736773374102e-05,0.04123918183147907,0.0003955693669610075,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01708980180119397,0.00027908561821158917,0.01601892637911078,0.00020275792520276105,11.150993377483442,0.01491904678949532,11.150993377483442,0.01491904678949532,0.4688741721854305,0.035167994827421875,0.0,0.0,0.003981420039814201,0.0,0.0018579960185799605,0.0018413320405456682,0.01376353950715956,0.0004798214677413528,FullVirtual,0.03948101143856146,0.004112028993227949,0.0,0.0,5,0.030600955575883465,0.0009626027495643652,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05491945147514343,0.012827489078211341,0.014394688792526722,0.0005201483769985347,0.006163403872752377,0.00018552840684422965,0.0,0.0,0.0,0.0,nan,nan,0.9140013271400133,0.02123735046896319,0.12313834577798843,0.01790517794565241,0.04491631425917142,0.008250999356341117,0.01903345175244568,0.0027868726998514126,0.0,0.0,0.12313834577798843,0.01790517794565241,0.04491631425917142,0.008250999356341117,0.01903345175244568,0.0027868726998514126,0.0377722904086113,0.0012810910959439976,0.03619755290448665,0.0004055180373677721,0.03660467211902142,0.00035417761506853756,nan,nan,nan,nan,nan,nan,nan,nan,0.06586764536798001,0.004856147727904293,0.03371488134235597,0.0012776544184070974,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,16.122358671253984,1.5574580179466124,0.5287292817679557,0.016528480996300093,12.500286102294922,0.0,6.624236652958894,0.05624728497389087,0.07724981158971786,0.0010271075177068739,0.0008447582018561661,3.881667591880683e-06,0.041937556266784665,0.00035354466222540707,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01755238579935394,0.0011509835932709978,0.016032256230973874,7.892297867362509e-05,11.080662983425416,0.008148000665056672,11.080662983425416,0.008148000665056672,0.4292817679558011,0.008647776708562727,0.0,0.0,0.003320420586607637,0.0,0.00044272274488101824,0.0007215497958165633,0.011056450463936305,0.00035864642102460104,FullVirtual,0.02431722550494825,0.0013717031245373999,0.0,0.0,5,0.023931781983916673,0.0006849183556144314,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.04900859594345093,0.008347894577899787,0.01236225813627243,0.0005362115458498087,0.005346138143487688,0.000243358985775016,0.0,0.0,0.0,0.0,nan,nan,0.8501383508577753,0.026535680094726784,0.12513490617275239,0.010850690114205445,0.03440873846411703,0.004062183171270814,0.01551215618203412,0.0018148289331498637,0.0,0.0,0.12513490617275239,0.010850690114205445,0.03440873846411703,0.004062183171270814,0.01551215618203412,0.0018148289331498637,0.039403095841407776,0.004864999423598477,0.036180506497621535,0.00016611091793839342,0.03668106438964606,0.0002086247900705179,nan,nan,nan,nan,nan,nan,nan,nan,0.05545631416141985,0.0033709609577554363,0.027034082415019756,0.0005122110940381134,figure8,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.0,12.684374497510724,2.580073626437405,0.5303867403314918,0.020947169734949027,12.500286102294922,0.0,6.451443935084784,0.11283493353612425,0.07664459496736527,0.0018842292790784885,0.0008491144049912691,9.481951594384641e-06,0.041808768808841705,0.0003654685128364768,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01734073479892686,0.00035239686629739313,0.016070996297639792,0.00011979917006171263,11.111602209944753,0.014952893483673737,11.111602209944753,0.014952893483673737,0.40331491712707185,0.04266145086044336,0.0,0.0,0.003320420586607637,0.0,0.0007747648035417819,0.0007424686145544404,0.009491892288882527,0.0007346612118809248,FullVirtual,0.01781943121840533,0.00045892035541908596,0.0,0.0,5,0.020984301987907635,0.0016570930280863597,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.05009092092514038,0.008666707228379714,0.011835899483412505,0.0005216073747931356,0.005148419372611303,0.00011372874828317263,0.0,0.0,0.0,0.0,nan,nan,0.7883785279468734,0.024716759238420368,0.09473660588264465,0.012795088564727006,0.026441626772284465,0.006960395622857246,0.011617441965498599,0.0025604504837947136,0.0,0.0,0.09473660588264465,0.012795088564727006,0.026441626772284465,0.006960395622857246,0.011617441965498599,0.0025604504837947136,0.041503045707941055,0.005611033395707763,0.036377862878143784,0.00024410153510114526,0.036900524891912936,0.00024564797309685536,nan,nan,nan,nan,nan,nan,nan,nan,0.055418548211455324,0.0030767052812172716,0.02344423865328223,0.0011346183235010805,rounded_square,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.0,19.975498978800104,4.940271491707998,0.5281767955801105,0.01887773432405512,12.500286102294922,0.0,6.565576865959393,0.17064001666194084,0.5254403755068779,1.0105962990413098,0.0008255148073658347,5.912933794071979e-06,0.03838869117200374,0.0004767082035992686,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018724723000195807,0.003775638488429324,0.01596138671022345,0.0006098654178123118,11.078453038674033,0.016643503128609866,11.078453038674033,0.016643503128609866,0.47569060773480665,0.06009160411570707,0.0,0.0,0.0,0.0,0.0,0.0,0.011340293362212036,0.001004364849519147,IdealZeroDelay,0.026085071127102216,0.002866597741746367,0.0,0.0,5,0.023899959767786458,0.0021698751743412857,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0007099390029907226,7.546270997848081e-05,8.238275069743378e-05,1.6065929660711056e-06,4.438424817785408e-05,1.404108791441955e-06,0.0,0.0,0.0,0.0,nan,nan,0.8982844493635861,0.02280868202851936,0.11537212282419204,0.03851475070876648,0.0454049168154597,0.011557155155863072,0.018344597923957855,0.004201829201035649,0.0,0.0,0.11537212282419204,0.03851475070876648,0.0454049168154597,0.011557155155863072,0.018344597923957855,0.004201829201035649,0.04638164415955544,0.014543522358517517,0.0363266123458743,0.0011053732718050815,0.0386748134419322,0.003567822729547023,nan,nan,nan,nan,nan,nan,nan,nan,0.053219041377305966,0.004151392782479215,0.02743999037287991,0.0023053091539703844,circle,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.0,27.790547689083798,9.167766463494063,0.5099337748344371,0.042662578565314975,12.500286102294922,0.0,6.749534842254626,0.26883140625577945,0.07295884191989899,0.0008666748158162376,0.0008223887998610735,1.022690383843171e-05,0.03782692067325115,0.0005526863468852995,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.021031472000322536,0.009511462701122592,0.01570001098934881,0.00021622607421288085,11.14569536423841,0.02376274850067463,11.14569536423841,0.02376274850067463,0.5152317880794701,0.053320512544646155,0.0,0.0,0.0,0.0,0.0,0.0,0.014477238560567988,0.002618757442352347,IdealZeroDelay,0.041156061011469194,0.009616478966322454,0.0,0.0,5,0.030789486081323803,0.005983643815620355,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.000713181495666504,6.510480046012283e-05,8.11244307988089e-05,2.813964175986977e-06,4.4957323798044e-05,1.7759951894592221e-06,0.0,0.0,0.0,0.0,nan,nan,0.9007299270072993,0.0358469091563232,0.14510041028261184,0.035769225160305215,0.059593970961868734,0.01876560581306999,0.02434160447436812,0.007099635795012805,0.0,0.0,0.14510041028261184,0.035769225160305215,0.059593970961868734,0.01876560581306999,0.02434160447436812,0.007099635795012805,0.04139537960290909,0.010295628538368937,0.03576586294919252,0.0005026979612658062,0.03621486457437277,0.0005544745889737437,nan,nan,nan,nan,nan,nan,nan,nan,0.06881590522825719,0.013768844541039172,0.034692676043874784,0.006282171248820328,fast_ellipse,nan,nan,nan,nan,nan,nan,nan,nan
