condition,delta_joint_rmse_rad_mean,delta_joint_rmse_rad_std,delta_orientation_rmse_rad_mean,delta_orientation_rmse_rad_std,delta_tcp_p95_m_mean,delta_tcp_p95_m_std,delta_tcp_rmse_m_mean,delta_tcp_rmse_m_std,ik_method,mpc_method,n
actuator_gain_l3,-0.004914795273477839,0.00065880808831242,-0.014637699905112619,0.0016480812965763598,-0.040589513424783924,0.004726195340148004,-0.014807135459683231,0.0013880743552338857,physical,IdealZeroDelay,20
actuator_gain_l6,-0.006887495718660823,0.0005474475321580506,-0.020216890827569074,0.0022187210809915324,-0.04820130120962859,0.006983981427456145,-0.017436677938939736,0.0019286607738541405,physical,IdealZeroDelay,20
force_pulse_l3,-0.0032063846648811346,0.001533573935535754,-0.010557552282678507,0.0036637503016057134,-0.03269857425242662,0.008739452560518796,-0.011204714033038413,0.0036560528084554297,physical,IdealZeroDelay,20
force_pulse_l6,-0.003038901412662436,0.0014700954038720277,-0.010425509629214277,0.003399367750432954,-0.03190764576196669,0.008880450334785059,-0.010789868106576748,0.003587106427222812,physical,IdealZeroDelay,20
nominal,-0.0031283310420197135,0.0015703813958892149,-0.01023781530257961,0.003665643937416123,-0.03239278085529803,0.009152332995311622,-0.011111760318005908,0.003598391474789962,physical,IdealZeroDelay,20
observation_noise_l3,-0.0025879719898185593,0.0015802917012888783,-0.008978446391256702,0.0036271606925361356,-0.031890416499227275,0.00994746503022968,-0.010321459311083433,0.003474014605978944,physical,IdealZeroDelay,20
observation_noise_l6,0.0014380447519925443,0.0027135186004838578,-0.0005016836210774336,0.005904522276829872,-0.019595753308385623,0.01216711938344848,-0.002498431354660313,0.005785755573087632,physical,IdealZeroDelay,20
payload_l3,-0.0012441331057479906,0.001614585615185691,-0.018323040348153276,0.0033089365360900176,-0.017586604189127678,0.009785413053071713,-0.010093341682028899,0.0037000630972423396,physical,IdealZeroDelay,20
payload_l6,-0.012273940440247004,0.001929109900058509,-0.07185330673355399,0.005221552279363472,-0.03793168023228648,0.008817951173154039,-0.03741852603174662,0.00474642118918752,physical,IdealZeroDelay,20
actuator_gain_l3,-0.0013958272413611677,0.0006674521799854726,-0.013938769157748518,0.001668340852883199,-0.026252773385494938,0.004797255782821012,-0.0085600780414084,0.0013701033840919012,preview,IdealZeroDelay,20
actuator_gain_l6,-0.0020668575611742382,0.0007725968612939249,-0.016180501057352536,0.0023152070541982523,-0.03608576346188783,0.007039761532808366,-0.012225000346407295,0.001977076610896487,preview,IdealZeroDelay,20
