delta_full_minus_naive_m,full_tcp_rmse_m,improvement_fraction,naive_tcp_rmse_m,seed,selection,trajectory
-0.0441598879804141,0.025976844738392728,0.6296256792779404,0.07013673271880683,1,best,circle
-0.027470484134554225,0.03491568917112515,0.4403296865149033,0.062386173305679374,2,worst,circle
-0.04673594805296273,0.026996317902546016,0.6338601892577662,0.07373226595550875,3,median,circle
-0.04775323007613651,0.03278666531618635,0.5929139818660405,0.08053989539232285,4,best,fast_ellipse
-0.0283075515700128,0.035942728670470256,0.44058253853617707,0.06425028024048306,2,worst,fast_ellipse
-0.0438047062122127,0.033405280006765854,0.5673450852325798,0.07720998621897855,0,median,fast_ellipse
-0.04460109652620228,0.026447777003591924,0.6277523387826677,0.07104887352979421,1,best,figure8
-0.03007791335561047,0.02775227572663047,0.5201074703877648,0.05783018908224094,0,worst,figure8
-0.03734628598040408,0.026834763696223472,0.581889610228738,0.06418104967662755,2,median,figure8
-0.04042809958735304,0.022575948634549613,0.6416746340642071,0.06300404822190266,1,best,rounded_square
-0.044824303584274416,0.025369962301241094,0.6385750035107048,0.07019426588551551,0,worst,rounded_square
-0.04056134129684445,0.023173727472482294,0.6364053900003804,0.06373506876932675,3,median,rounded_square
