trajectory,seed,snapshot,candidate_count,within_snapshot_spearman,all_pair_concordance,selected_vs_baseline_correct,selected_vs_alternative_correct,selected_baseline_duplicate,selected_alternative_duplicate,selected_additive_regret,selected_relative_regret,projection_active,q_rmse_k1_rad,q_rmse_k5_rad,q_rmse_k10_rad,q_rmse_k20_rad
circle,0,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00011065995446794356,0.00044068045099265873,0.0005464678979478776,0.0009743201468760768
circle,0,1,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,8.800384966889396e-05,0.0005119405395817012,0.0006837753656630715,0.000677506614010781
circle,0,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,9.366113226860762e-05,0.00029385037002308917,0.00053555125487037,0.0008821702601077656
circle,0,3,3,1.0,1.0,1.0,1.0,False,False,0.008606374263763428,0.01860530022534562,True,9.4410395831801e-05,0.00037206967438881594,0.0005146157830798378,0.0011222743002387385
circle,0,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00010525127678799133,0.000388696207664907,0.0007171346029887596,0.0006792658823542297
circle,0,5,3,1.0,1.0,1.0,1.0,False,False,0.006841480731964111,0.0077986861251181545,True,0.00015221102512441576,0.0006336545920930803,0.0007155113465463122,0.0008137357071973383
circle,1,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00014769143308512866,0.0006314923715156814,0.0007273527444340289,0.0009136385439584652
circle,1,1,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,8.310485281981528e-05,0.0003302104984565328,0.00037099839149353403,0.0005185749905649573
circle,1,2,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00011476254439912736,0.0005129807395860553,0.0009363178396597505,0.0008244062773883343
circle,1,3,3,1.0,1.0,1.0,1.0,False,False,0.00208890438079834,0.0017831798605999678,True,0.00010125075641553849,0.0005024752657239636,0.0006213324959389865,0.0006969798705540597
circle,1,4,3,0.5,0.6666666666666666,0.0,1.0,False,False,0.0004032403230667114,0.002151620509512896,True,8.862678805598989e-05,0.00041872365788246196,0.000488906002525861,0.0009153572415622572
circle,1,5,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00015876092948019505,0.0005641699729797741,0.0004051029197095583,0.0005194472032599151
circle,2,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00010340693067216004,0.0005319322614620129,0.0011242932717626293,0.0011783996402906876
circle,2,1,3,1.0,1.0,1.0,1.0,False,False,0.003826230764389038,0.011265087774360959,True,5.216811162730058e-05,0.00030190339505982894,0.00053878576727584,0.000894980524511387
circle,2,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00012838027760153636,0.0005053260829299688,0.000593379169004038,0.0007534883625339717
circle,2,3,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00014190813817549497,0.0006476624791199962,0.0007443788344971836,0.0009367273499568304
circle,2,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,7.758383071632124e-05,0.00040410903360073763,0.0006187145675842961,0.0005545941239688545
circle,2,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,3.4991742722922936e-05,0.00016630582831567153,0.0006595025188289583,0.0010065445385407656
figure8,0,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00012554328228967884,0.0006488834430153171,0.0005367147192979852,0.0008491416422960659
figure8,0,1,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,6.530562556387547e-05,0.00020757958312363675,0.0003510704943134139,0.0005890721901475141
figure8,0,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,8.568372140871361e-05,0.0002048780928210666,0.00044657713927639026,0.0005178971235485127
figure8,0,3,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00011772993093472905,0.0005127306649228558,0.0003369568148627877,0.0007694415398873389
figure8,0,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,4.946373155689798e-05,0.00011002935207216069,0.0002635844163402605,0.0004716897286319484
figure8,0,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00014350366836879402,0.0004086971457581967,0.0007035384769551456,0.0010012486309278756
figure8,1,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00017709545015046993,0.0006407507656452557,0.0004671038089630504,0.0006195331419197222
figure8,1,1,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,4.91195266173842e-05,0.00039132407982833683,0.0001744516339385882,0.000641241252499943
figure8,1,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,4.199132672511041e-05,0.0001501042521946753,0.0002878803594891603,0.0005144275783095509
figure8,1,3,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00011198504459268103,0.0004202759397837023,0.0006897544953972101,0.001265901024453342
figure8,1,4,3,1.0,1.0,1.0,1.0,False,False,0.0012280866503715515,0.01699836287463745,True,4.1662748117232695e-05,0.00026195771351922303,0.0002667111160311227,0.0003082125767832622
figure8,1,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,6.770892650820315e-05,0.00037686966243200004,0.00033976523263845593,0.001025594538077712
figure8,2,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,8.045349750318564e-05,0.0002698271127883345,0.0004877448178982983,0.0008155271061696112
figure8,2,1,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00012707838808031133,0.0005635970349734029,0.00046025428067271906,0.0007028490751205633
