group,n,tracking_joint_rmse_deg,tracking_joint_p95_deg,tracking_tcp_rmse_mm,command_velocity_rms_rad_s,command_acceleration_rms_rad_s2,requested_residual_rms_deg,requested_residual_p95_deg,requested_residual_max_deg,executed_residual_rms_deg,executed_residual_p95_deg,executed_residual_max_deg,requested_residual_saturation_rate,planner_latency_p95_ms,control_deadline_miss_count,command_velocity_violation_count,command_acceleration_violation_count,safety_violation_count,command_acceleration_quantization_exceedance_count
circle|circle|development|direct,3,0.9893301575542844,1.9611448881619638,9.556569798741812,0.05585213471437886,0.8068575688712132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,778.3333333333334
circle|circle|development|nn_mpc,3,0.3605260949572339,0.774913957625407,3.7652470612243945,0.08509092212378616,1.1871943997379315,0.7586242270631472,0.9999999922536332,0.9999999922536332,0.8113729037672144,1.1886468573807447,1.9125295226405175,0.8187781877818777,28.46290351666666,0.0,0.0,0.0,0.0,1006.0
circle|circle|development|preview6,3,0.6300419966424038,1.2012209723958638,6.957503369046649,0.05585213471437833,0.8068575688712132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,777.0
heldout|back_and_forth|fast|direct,3,0.9476312867779287,1.8393324379196319,9.39751337994952,0.04865989884271662,0.805408784439936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,630.3333333333334
heldout|back_and_forth|fast|nn_mpc,3,0.3734225902238711,0.7943952566298483,3.817141054621022,0.07865900472188402,1.1842372093953202,0.7522154460711591,0.9999999922536332,0.9999999922536332,0.7961141482760894,1.0963388855752132,1.8287549757405879,0.8185346918971373,28.367131016666665,0.0,0.0,0.0,0.0,876.0
heldout|back_and_forth|fast|preview6,3,0.6589363288908276,1.2242361512459103,6.949208291155145,0.04865989884271662,0.805408784439936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,629.0
heldout|back_and_forth|nominal|direct,3,0.8760985351342961,1.681197603294149,8.594417573835145,0.03791707255028234,0.7655938276363367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,772.3333333333334
heldout|back_and_forth|nominal|nn_mpc,3,0.32864817377874367,0.6426709920994167,3.411102188514382,0.07725675199025785,1.193661732681434,0.7293485743296992,0.9999999922536332,0.9999999922536332,0.7931342140790741,1.2289637636188184,1.8990627374747795,0.7656765676567656,28.438837333333336,0.0,0.0,0.0,0.0,1097.6666666666667
heldout|back_and_forth|nominal|preview6,3,0.6434449718250255,1.2027587645857618,6.85717683633055,0.03791707255028234,0.7655938276363364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,772.3333333333334
heldout|ellipse|fast|direct,3,0.8772063646072823,1.6511190479022826,9.403333327246566,0.04722375017365582,0.8000689566214026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,702.3333333333334
