trial_id,family,shape,speed,phase_index,repeat_index,controller,status,tracking_joint_rmse_deg,tracking_tcp_rmse_mm,command_velocity_rms_rad_s,command_acceleration_rms_rad_s2,requested_residual_p95_deg,requested_residual_max_deg,executed_residual_p95_deg,executed_residual_max_deg,safety_violation_count,control_deadline_miss_count,command_velocity_violation_count,command_acceleration_violation_count,command_acceleration_quantization_exceedance_count
circle_p0_direct,circle,circle,development,0,0,direct,complete,1.0147100178089041,9.605070434504466,0.05520564558773023,0.8196145243439946,0.0,0.0,0.0,0.0,0,0,0,0,798
circle_p0_preview6,circle,circle,development,0,0,preview6,complete,0.6720358688483743,6.608133998169378,0.05520564558773022,0.8196145243439946,0.0,0.0,0.0,0.0,0,0,0,0,775
circle_p0_nn_mpc,circle,circle,development,0,0,nn_mpc,complete,0.38719773705286276,3.876158905931048,0.08706506700203892,1.213290088373112,0.9999999922536332,0.9999999922536332,1.226624473631551,1.9335851460087665,0,0,0,0,1006
circle_p2_preview6,circle,circle,development,1,1,preview6,complete,0.6511058478838693,7.864578097836907,0.05579263290484824,0.8230415256288451,0.0,0.0,0.0,0.0,0,0,0,0,805
circle_p2_nn_mpc,circle,circle,development,1,1,nn_mpc,complete,0.3322325103159913,3.5215825529292144,0.08340507952531591,1.1924252417750147,0.9999999922536332,0.9999999922536332,1.167930118117034,1.9167124443247194,0,0,0,0,1007
circle_p2_direct,circle,circle,development,1,1,direct,complete,0.9967178839805403,10.619032789303876,0.05579263290484824,0.8230415256288451,0.0,0.0,0.0,0.0,0,0,0,0,786
circle_p4_nn_mpc,circle,circle,development,2,2,nn_mpc,complete,0.3621480375028477,3.89799972481292,0.08480261984400368,1.155867869065668,0.9999999922536332,0.9999999922536332,1.1713859803936493,1.8872909775880664,0,0,0,0,1005
circle_p4_direct,circle,circle,development,2,2,direct,complete,0.9565625708734088,8.445606172417094,0.056558125650558115,0.7779166566407998,0.0,0.0,0.0,0.0,0,0,0,0,751
circle_p4_preview6,circle,circle,development,2,2,preview6,complete,0.5669842731949679,6.3997980111336625,0.05655812565055655,0.7779166566407998,0.0,0.0,0.0,0.0,0,0,0,0,751
ellipse_nominal_p0_direct,heldout,ellipse,nominal,0,0,direct,complete,0.8204357953874114,8.50358318321119,0.03776436118411162,0.809559881308667,0.0,0.0,0.0,0.0,0,0,0,0,890
ellipse_nominal_p0_preview6,heldout,ellipse,nominal,0,0,preview6,complete,0.6308229996459596,6.217592098081183,0.037770168848564024,0.8100474212192947,0.0,0.0,0.0,0.0,0,0,0,0,890
ellipse_nominal_p0_nn_mpc,heldout,ellipse,nominal,0,0,nn_mpc,complete,0.30845861446595946,3.5943131842172975,0.07934688211904563,1.2112471458348582,0.9999999922536332,0.9999999922536332,1.2751431706319014,1.977536346100741,0,0,0,0,1159
ellipse_nominal_p1_preview6,heldout,ellipse,nominal,1,1,preview6,complete,0.636471856873964,6.7785484233447875,0.037665493441765736,0.7893114220222563,0.0,0.0,0.0,0.0,0,0,0,0,857
ellipse_nominal_p1_nn_mpc,heldout,ellipse,nominal,1,1,nn_mpc,complete,0.31480840416432027,3.365361061847973,0.07187412064858051,1.1828827814635299,0.9999999922536332,0.9999999922536332,1.132780225084345,1.9068483705027517,0,0,0,0,1159
ellipse_nominal_p1_direct,heldout,ellipse,nominal,1,1,direct,complete,0.827178546149069,8.671033440529968,0.037665493441765736,0.7893114220222562,0.0,0.0,0.0,0.0,0,0,0,0,857
ellipse_nominal_p2_nn_mpc,heldout,ellipse,nominal,2,2,nn_mpc,complete,0.32676021624130575,3.8119498867148813,0.08467453540215047,1.2219561602552038,0.9999999922536332,0.9999999922536332,1.3986925842262405,2.0421815252739726,0,0,0,0,1157
ellipse_nominal_p2_direct,heldout,ellipse,nominal,2,2,direct,complete,0.8544324383704853,8.428724232025656,0.03731445561771714,0.8051585995811873,0.0,0.0,0.0,0.0,0,0,0,0,889
ellipse_nominal_p2_preview6,heldout,ellipse,nominal,2,2,preview6,complete,0.6219627664286616,6.639792658554827,0.03731445561771714,0.8051585995811873,0.0,0.0,0.0,0.0,0,0,0,0,889
ellipse_fast_p0_direct,heldout,ellipse,fast,0,0,direct,complete,0.8985510806886945,9.309370577901825,0.04740172146257266,0.8065808021807489,0.0,0.0,0.0,0.0,0,0,0,0,716
